symbol,prices,dividends,fundamentals
NVDA,True,False,True
AAPL,True,False,True
MSFT,True,False,True
AVGO,True,False,True
LLY,True,False,True
JPM,True,False,True
ORCL,True,False,True
MA,True,False,True
JNJ,True,False,True
ABBV,True,False,True
BAC,True,False,True
COST,True,False,True
HD,True,False,True
PG,True,False,True
GE,True,False,True
CSCO,True,False,True
CVX,True,False,True
KO,True,False,True
IBM,True,False,True
CAT,True,False,True
MS,True,False,True
AXP,True,False,True
MU,True,False,True
GS,True,False,True
MRK,True,False,True
MCD,True,False,True
ABT,True,False,True
AMAT,True,False,True
PEP,True,False,True
C,True,False,True
LRCX,True,False,True
INTC,True,False,True
LIN,True,False,True
BX,True,False,True
INTU,True,False,True
AMGN,True,False,True
NEE,True,False,True
APH,True,False,True
ACN,True,False,True
BLK,True,False,True
DHR,True,False,True
KLAC,True,False,True
GILD,True,False,True
COF,True,False,True
PFE,True,False,True
LOW,True,False,True
ADI,True,False,True
PGR,True,False,True
ETN,True,False,True
MDT,True,False,True
DE,True,False,True
HON,True,False,True
KKR,True,False,True
CB,True,False,True
COP,True,False,True
CEG,True,False,True
HCA,True,False,True
IBKR,True,False,True
BMY,True,False,True
ADP,True,False,True
LMT,True,False,True
MCK,True,False,True
CMCSA,True,False,True
NEM,True,False,True
CME,True,False,True
MO,True,False,True
CVS,True,False,True
NKE,True,False,True
DELL,True,False,True
GD,True,False,True
DUK,True,False,True
ICE,True,False,True
MMM,True,False,True
MMC,True,False,True
MCO,True,False,True
BK,True,False,True
MAR,True,False,True
APO,True,False,True
NOC,True,False,True
HWM,True,False,True
EMR,True,False,True
ELV,True,False,True
ECL,True,False,True
AON,True,False,True
JCI,True,False,True
CTAS,True,False,True
GLW,True,False,True
ITW,True,False,True
MDLZ,True,False,True
CI,True,False,True
GM,True,False,True
CMI,True,False,True
CSX,True,False,True
NSC,True,False,True
COR,True,False,True
FDX,True,False,True
HLT,True,False,True
FCX,True,False,True
AEP,True,False,True
AJG,True,False,True
CL,True,False,True
KMI,True,False,True
MSI,True,False,True
EOG,True,False,True
AFL,True,False,True
APD,True,False,True
MPC,True,False,True
NXPI,True,False,True
PCAR,True,False,True
BDX,True,False,True
ALL,True,False,True
LHX,True,False,True
F,True,False,True
MET,True,False,True
NDAQ,True,False,True
D,True,False,True
EA,True,False,True
BKR,True,False,True
OKE,True,False,True
FAST,True,False,True
DHI,True,False,True
CAH,True,False,True
CARR,True,False,True
GWW,True,False,True
FANG,True,False,True
AME,True,False,True
MPWR,True,False,True
CTVA,True,False,True
AMP,True,False,True
EXC,True,False,True
AIG,True,False,True
ETR,True,False,True
A,True,False,True
OXY,True,False,True
MSCI,True,False,True
KR,True,False,True
PEG,True,False,True
PAYX,True,False,True
CTSH,True,False,True
GRMN,True,False,True
KDP,True,False,True
EBAY,True,False,True
EQT,True,False,True
EL,True,False,True
MLM,True,False,True
NUE,True,False,True
HIG,True,False,True
HSY,True,False,True
MCHP,True,False,True
KMB,True,False,True
ED,True,False,True
FIS,True,False,True
OTIS,True,False,True
NRG,True,False,True
ODFL,True,False,True
IR,True,False,True
LEN,True,False,True
MTB,True,False,True
HUM,True,False,True
HPE,True,False,True
FOXA,True,False,True
FITB,True,False,True
KHC,True,False,True
EXE,True,False,True
K,True,False,True
ADM,True,False,True
EME,True,False,True
FOX,True,False,True
ATO,True,False,True
DG,True,False,True
DTE,True,False,True
AEE,True,False,True
BRO,True,False,True
BR,True,False,True
HBAN,True,False,True
CBOE,True,False,True
DOV,True,False,True
FE,True,False,True
EFX,True,False,True
CINF,True,False,True
NTRS,True,False,True
CNP,True,False,True
ES,True,False,True
AWK,True,False,True
LDOS,True,False,True
GIS,True,False,True
HPQ,True,False,True
CFG,True,False,True
DVN,True,False,True
HAL,True,False,True
JBL,True,False,True
HUBB,True,False,True
NTAP,True,False,True
OMC,True,False,True
EIX,True,False,True
CMS,True,False,True
LH,True,False,True
L,True,False,True
KEY,True,False,True
CTRA,True,False,True
IP,True,False,True
DGX,True,False,True
DRI,True,False,True
CHD,True,False,True
EXPD,True,False,True
NI,True,False,True
GPN,True,False,True
AMCR,True,False,True
PFG,True,False,True
CDW,True,False,True
BG,True,False,True
CHRW,True,False,True
JBHT,True,False,True
GPC,True,False,True
FTV,True,False,True
LII,True,False,True
IFF,True,False,True
MKC,True,False,True
EVRG,True,False,True
J,True,False,True
LNT,True,False,True
GEN,True,False,True
DD,True,False,True
DOW,True,False,True
NWS,True,False,True
ERIE,True,False,True
BBY,True,False,True
NWSA,True,False,True
DPZ,True,False,True
BF-B,True,False,True
ALB,True,False,True
LYB,True,False,True
ALLE,True,False,True
AVY,True,False,True
MAS,True,False,True
IEX,True,False,True
NDSN,True,False,True
BALL,True,False,True
HRL,True,False,True
EG,True,False,True
JKHY,True,False,True
CF,True,False,True
CLX,True,False,True
HII,True,False,True
BEN,True,False,True
HAS,True,False,True
AIZ,True,False,True
IVZ,True,False,True
GL,True,False,True
FDS,True,False,True
AES,True,False,True
APA,True,False,True
BAX,True,False,True
AOS,True,False,True
CPB,True,False,True
LW,True,False,True
CAG,True,False,True
MOS,True,False,True
LKQ,True,False,True
LEG,True,False,True
